algorithm,silhouette,ari,nmi,davies_bouldin,calinski_harabasz,execution_time
KMeans,0.5512,0.7163,0.7419,0.666,561.5937,1.5984
MiniBatchKMeans,0.5202,0.7583,0.7857,0.6686,521.5609,0.0215
FCM,0.5495,0.7294,0.7496,0.6692,560.2235,0.0035
FCLM,0.5495,0.7294,0.7496,0.6692,560.2235,0.0038
ADE-FCM,0.5528,0.7302,0.7582,0.662,561.6278,1.0168
Spectral,0.5553,0.7455,0.798,0.6539,556.1177,0.0324
DBSCAN,0.7354,0.6073,0.7507,0.3443,680.4862,0.003
Agglomerative,0.5543,0.7312,0.7701,0.6563,558.058,0.002
GaussianMixture,0.5012,0.9039,0.8997,0.7483,481.7807,0.0224
